id,team1_id,team1,team2,winner,date,pbp_caster,mvp,blue,red,team2_id,co_caster_1,co_caster_2
0,fnatic,Fnatic,SK Telecom T1,SK Telecom T1,2019-10-12 12:00:00,Atlus,Faker,Fnatic,SK Telecom T1,sktelecomt1,Froskurinn,Kobe
1,royalnevergiveup,Royal Never Give Up,Clutch Gaming,Royal Never Give Up,2019-10-12 13:00:00,Atlus,Langx,Royal Never Give Up,Clutch Gaming,clutchgaming,Froskurinn,Kobe
2,invictusgaming,Invictus Gaming,ahq eSports Club,Invictus Gaming,2019-10-12 14:00:00,Atlus,Rookie,Invictus Gaming,ahq eSports Club,ahqesportsclub,Froskurinn,Kobe
3,damwongaming,DAMWON Gaming,Team Liquid,Team Liquid,2019-10-12 15:00:00,Phreak,Impact,DAMWON Gaming,Team Liquid,teamliquid,Azael,Spawn
4,jteam,J Team,FunPlus Phoenix,J Team,2019-10-12 16:00:00,Phreak,FoFo,J Team,FunPlus Phoenix,funplusphoenix,Azael,Spawn
5,gamesports,GAM Esports,Splyce,Splyce,2019-10-12 17:00:00,Phreak,Humanoid,GAM Esports,Splyce,splyce,Azael,Spawn
6,sktelecomt1,SK Telecom T1,Royal Never Give Up,SK Telecom T1,2019-10-13 12:00:00,CaptainFlowers,Clid,SK Telecom T1,Royal Never Give Up,royalnevergiveup,Jatt,Vedius
7,fnatic,Fnatic,Clutch Gaming,Fnatic,2019-10-13 13:00:00,CaptainFlowers,Broxah,Fnatic,Clutch Gaming,clutchgaming,Jatt,Vedius
8,teamliquid,Team Liquid,Invictus Gaming,Invictus Gaming,2019-10-13 14:00:00,Medic,Rookie,Team Liquid,Invictus Gaming,invictusgaming,Jatt,Vedius
9,ahqesportsclub,ahq eSports Club,DAMWON Gaming,DAMWON Gaming,2019-10-13 15:00:00,Medic,ShowMaker,ahq eSports Club,DAMWON Gaming,damwongaming,PapaSmithy,Azael
10,griffin,Griffin,G2 Esports,G2 Esports,2019-10-13 16:00:00,Medic,Jankos,Griffin,G2 Esports,g2esports,PapaSmithy,Azael
11,cloud9,Cloud9,Hong Kong Attitude,Cloud9,2019-10-13 17:00:00,Medic,Licorice,Cloud9,Hong Kong Attitude,hongkongattitude,PapaSmithy,Azael
12,invictusgaming,Invictus Gaming,DAMWON Gaming,DAMWON Gaming,2019-10-14 13:00:00,Atlus,Canyon,Invictus Gaming,DAMWON Gaming,damwongaming,Azael,Spawn
13,ahqesportsclub,ahq eSports Club,Team Liquid,Team Liquid,2019-10-14 14:00:00,Atlus,Impact,ahq eSports Club,Team Liquid,teamliquid,Azael,Spawn
14,funplusphoenix,FunPlus Phoenix,Splyce,FunPlus Phoenix,2019-10-14 15:00:00,Atlus,Doinb,FunPlus Phoenix,Splyce,splyce,Azael,Spawn
15,jteam,J Team,GAM Esports,GAM Esports,2019-10-14 16:00:00,Phreak,Zeros,J Team,GAM Esports,gamesports,Ender,Jatt
16,griffin,Griffin,Hong Kong Attitude,Griffin,2019-10-14 17:00:00,Phreak,Chovy,Griffin,Hong Kong Attitude,hongkongattitude,Ender,Jatt
17,g2esports,G2 Esports,Cloud9,G2 Esports,2019-10-14 18:00:00,Phreak,Perkz,G2 Esports,Cloud9,cloud9,Ender,Jatt
18,royalnevergiveup,Royal Never Give Up,Fnatic,Royal Never Give Up,2019-10-15 13:00:00,Quickshot,Langx,Royal Never Give Up,Fnatic,fnatic,Vedius,Azael
19,clutchgaming,Clutch Gaming,SK Telecom T1,SK Telecom T1,2019-10-15 14:00:00,Quickshot,Faker,Clutch Gaming,SK Telecom T1,sktelecomt1,Vedius,Azael
20,funplusphoenix,FunPlus Phoenix,GAM Esports,FunPlus Phoenix,2019-10-15 15:00:00,Quickshot,Tian,FunPlus Phoenix,GAM Esports,gamesports,Vedius,Azael
21,splyce,Splyce,J Team,J Team,2019-10-15 16:00:00,Atlus,FoFo,Splyce,J Team,jteam,PapaSmithy,Jatt
22,cloud9,Cloud9,Griffin,Griffin,2019-10-15 17:00:00,Atlus,Tarzan,Cloud9,Griffin,griffin,PapaSmithy,Jatt
23,hongkongattitude,Hong Kong Attitude,G2 Esports,G2 Esports,2019-10-15 18:00:00,Atlus,Perkz,Hong Kong Attitude,G2 Esports,g2esports,PapaSmithy,Jatt
24,gamesports,GAM Esports,FunPlus Phoenix,FunPlus Phoenix,2019-10-17 13:00:00,Drakos,Crisp,GAM Esports,FunPlus Phoenix,funplusphoenix,Ender,Azael
25,jteam,J Team,Splyce,Splyce,2019-10-17 14:00:00,Drakos,Humanoid,J Team,Splyce,splyce,Ender,Azael
26,gamesports,GAM Esports,J Team,J Team,2019-10-17 15:00:00,Drakos,Rest,GAM Esports,J Team,jteam,Ender,Azael
