,player,name,position,team
0,evi,Evi,Top,DetonatioN FocusMe
1,steal,Steal,Jungle,DetonatioN FocusMe
2,ceros,Ceros,Middle,DetonatioN FocusMe
3,yutapon,Yutapon,ADC,DetonatioN FocusMe
4,gaeng,Gaeng,Support,DetonatioN FocusMe
5,vizicsacsi,Vizicsacsi,Top,Splyce
6,xerxe,Xerxe,Jungle,Splyce
7,humanoid,Humanoid,Middle,Splyce
8,kobbe,Kobbe,ADC,Splyce
9,norskeren,Norskeren,Support,Splyce
10,huni,Huni,Top,Clutch Gaming
11,lira,Lira,Jungle,Clutch Gaming
12,damonte,Damonte,Middle,Clutch Gaming
13,codysun,Cody Sun,ADC,Clutch Gaming
14,vulcan,Vulcan,Support,Clutch Gaming
15,boss,BOSS,Top,Unicorns of Love
16,ahahacik,AHaHaCiK,Jungle,Unicorns of Love
17,nomanz,Nomanz,Middle,Unicorns of Love
18,innaxe,Innaxe,ADC,Unicorns of Love
19,edward,Edward,Support,Unicorns of Love
20,fudge,Fudge,Top,Mammoth
21,babip,Babip,Jungle,Mammoth
22,triple,Triple,Middle,Mammoth
23,k1ng,k1ng,ADC,Mammoth
24,destiny,Destiny,Support,Mammoth
25,buggax,Buggax,Top,Isurus Gaming
26,oddie,Oddie,Jungle,Isurus Gaming
27,seiya,Seiya,Middle,Isurus Gaming
28,warangelus,Warangelus,ADC,Isurus Gaming
29,slow,Slow,Support,Isurus Gaming
30,armut,Armut,Top,Royal Youth
31,closer,Closer,Jungle,Royal Youth
32,cyeol,Cyeol,Middle,Royal Youth
33,pilot,Pilot,ADC,Royal Youth
34,tolerant,Tolerant,Support,Royal Youth
35,nuguri,Nuguri,Top,Damwon Gaming
36,canyon,Canyon,Jungle,Damwon Gaming
37,showmaker,ShowMaker,Middle,Damwon Gaming
38,nuclear,Nuclear,ADC,Damwon Gaming
39,beryl,BeryL,Support,Damwon Gaming
40,rockky,Rockky,Top,MEGA Esports
41,lloyd,Lloyd,Jungle,MEGA Esports
42,g4,G4,Middle,MEGA Esports
43,deul,DeuL,ADC,MEGA Esports
44,pop,PoP,Support,MEGA Esports
45,3z,3z,Top,Hong Kong Attitude
46,crash,Crash,Jungle,Hong Kong Attitude
47,m1ssion,M1ssion,Middle,Hong Kong Attitude
48,mnm,MnM,ADC,Hong Kong Attitude
49,kaiwing,Kaiwing,Support,Hong Kong Attitude
50,robo,Robo,Top,Flamengo
51,shrimp,Shrimp,Jungle,Flamengo
52,goku,Goku,Middle,Flamengo
53,brtt,brTT,ADC,Flamengo
54,luci,Luci,Support,Flamengo
55,hani,Hani,Top,Lowkey Esports
56,dnk,DNK,Jungle,Lowkey Esports
57,artifact,Artifact,Middle,Lowkey Esports
58,celebrity,Celebrity,ADC,Lowkey Esports
59,venus,Venus,Support,Lowkey Esports
60,unified,Unified,ADC,Hong Kong Attitude
61,bwipo,Bwipo,Top,Fnatic
62,broxah,Broxah,Jungle,Fnatic
63,nemesis,Nemesis,Middle,Fnatic
64,rekkles,Rekkles,ADC,Fnatic
65,hylissang,Hylissang,Support,Fnatic
66,khan,Khan,Top,SK Telecom T1
67,clid,Clid,Jungle,SK Telecom T1
68,faker,Faker,Middle,SK Telecom T1
69,teddy,Teddy,ADC,SK Telecom T1
70,effort,Effort,Support,SK Telecom T1
71,langx,Langx,Top,Royal Never Give Up
72,karsa,Karsa,Jungle,Royal Never Give Up
73,xiaohu,xiaohu,Middle,Royal Never Give Up
74,uzi,Uzi,ADC,Royal Never Give Up
75,ming,Ming,Support,Royal Never Give Up
76,theshy,TheShy,Top,Invictus Gaming
